latitude,longitude,Name
35.797425,-92.934688,Twin Falls Hiking Trail
35.761426,-92.937616,Six Finger Falls Viewing Area
35.723859,-93.015808,Pedestal Rocks & Kings Bluff Hiking Trail
35.668932,-93.098763,Rotary Ann Overlook
35.677682,-93.256198,Haw Creek Falls Viewing Area
35.827813,-93.390582,Glory Hole Falls Hiking Trail
35.898389,-93.457991,Hawsbill Crag Hiking Trail
35.782749,-94.245359,Butterfield Hiking Trail at Devil's Den State Park
36.064203,-93.16062,Ozark Campground on the Buffalo National River
36.055079,-93.281684,Indian Creek Hiking Trail
36.039655,-93.346337,Steel Creek Campground
36.077143,-93.31242,Hemmed in Hollow Falls Hiking Trail
35.983889,-93.178556,Round Top Mountain Hiking Trail
35.970983,-93.168251,Arkansas Grand Canyon Viewing Area
35.887756,-93.468315,Compron's Double Falls Hiking Trail
36.290191,-93.930837,Pigeon Roost Hiking Strail at Hobbs State Park
36.295189,-93.904423,War Eagle Cavern
36.285953,-94.020423,Horseshoe Bend Campground
36.41157,-93.734093,Eureka Sprinks Music Park
36.435573,-93.760573,Beecham Hiking Trail at Lake Leatherwood
36.105239,-92.5487,Bluff above Buffalo National River (caution: trespassing)
